station,dist_km,az_deg,mean_cc,min_cc,max_cc,n_scores,median_shift_s,depth,strike,dip,rake
IW.PLID,77.8,6.3,0.583067,-0.192103,0.973149,6,2.9,6,70,60,-160
US.BMO,107.9,298.7,0.584391,-0.009544,0.966051,6,3.3,6,70,60,-160
IW.MFID,110.9,168.1,0.490646,-0.013961,0.975513,6,2.0,6,70,60,-160
IW.DLMT,297.7,67.5,0.769790,0.594470,0.905623,6,5.5,6,70,60,-160
US.WVOR,298.7,224.1,0.670588,0.388402,0.929432,6,4.1,6,70,60,-160
US.MSO,319.3,31.2,0.901466,0.846827,0.971785,6,5.4,6,70,60,-160
US.HAWA,348.2,310.9,0.826781,0.630246,0.925252,6,5.9,6,70,60,-160
US.BOZ,377.7,67.7,0.631668,-0.158707,0.928366,6,6.0,6,70,60,-160
US.ELK,411.4,169.7,0.823204,0.290162,0.985879,6,4.4,6,70,60,-160
US.NEW,437.4,350.1,0.575789,-0.742095,0.947220,6,3.5,6,70,60,-160
US.HWUT,482.6,128.3,0.764876,0.414603,0.907469,6,5.5,6,70,60,-160
US.DUG,539.5,148.6,0.590717,0.314300,0.867759,6,3.9,6,70,60,-160
